,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
DRUG_ATC_C1,0.1381342,-0.076403365,0.08034826,0.26215848,0.0554379,0.101971515,0.059108514,0.15223183,0.16689663,-0.24914119,-0.007690811,0.070331536,-0.052356157,-0.00060898083,0.0148855895,0.15607893,0.12526031,-0.17347263,0.1013286,0.052749958,0.11009372,-0.16078733,0.10392235,-0.030652476,0.17373326,0.30563384,0.06352891,-0.00035706762,0.07002609,0.024228204,0.12177575,-0.03143427,0.21128456,-0.124460995,-0.042545363,0.026034992,0.074316144,-0.26693437,-0.23779808,-0.08562878,-0.15951936,0.045553096,-0.18107398,0.059648238,0.028899916,-0.10970403,0.036352206,0.10429505,-0.06007415,-0.09292309,0.22707695,-0.07112641,-0.06027061,0.04771649,0.02385646,0.13946292,0.06822803,-0.18642972,-0.01244158,-0.24492307,0.079046085,-0.28939897,-0.041284215,-0.013476998,0.041854046,0.0054794434,-0.11309171,0.058778558,0.0642995,0.10889054,-0.19179316,-0.23545685,0.07482962,0.07721725,0.13251285,-0.056691054,-0.02028719,-0.2383809,-0.24029246,0.03982906,-0.0037529825,-0.1146071,0.0878391,0.12823755,0.15231578,0.043441687,-0.108255394,0.15051481,0.045973256,0.48166275,0.08586559,0.13594855,-0.019469706,-0.08827929,0.07082504,-0.11070024,-0.2585686,0.016594086,-0.12900056,0.20198391
DRUG_ATC_C2,0.04885791,-0.21705927,-0.030044222,0.09795873,-0.010622028,-0.048698824,0.17584766,-0.052384067,0.08258787,-0.30032453,0.009121296,0.19820905,-0.034680434,-0.0062809573,-0.23743218,0.114221625,0.014753186,-0.03817837,-0.03499103,-0.04755644,-0.044443317,0.07910245,-0.13223709,-0.25010875,0.13346818,0.27568716,0.22249813,-0.106304795,-0.11095314,0.19696783,0.18823543,0.10777747,0.2557699,0.036919057,-0.17734236,-0.11912039,-0.09587503,-0.28771552,-0.22482096,-0.100648396,-0.020792635,-0.15674981,-0.0050419373,0.055820905,0.06578715,-0.13808963,0.1135956,0.03921542,-0.10698738,0.049168747,0.12019844,-0.07860136,0.12736401,0.17581837,0.030353464,-0.06631519,0.12057708,-0.12676504,-0.07025613,-0.13556582,0.1788647,-0.22270174,-0.11037902,0.11040977,-0.11431315,0.018099055,-0.0904587,0.06454074,0.1382599,-0.088784695,0.012267548,0.06668418,-0.033450264,0.20471188,-0.11048932,-0.089772575,0.0005796548,-0.08323976,-0.091080345,-0.08816081,0.008886176,-0.068588726,-0.05309752,0.14239092,0.0734259,0.12241787,0.029974898,-0.06000095,-0.14292699,0.15047006,0.11444206,0.18960896,-0.0012561752,0.058031023,0.08174309,-0.17985158,-0.20798194,0.11260035,-0.06407111,0.23592898
DRUG_ATC_C3,0.099114746,-0.10408188,-0.066808246,0.16868946,-0.15102708,-0.031381484,-0.050763603,-0.095508546,0.0829809,-0.2982077,-0.016175067,0.24823347,-0.19160278,-0.008337316,-0.12514116,-0.023751892,0.17709976,-0.14537588,0.12680824,0.07561453,-0.016898327,-0.060605545,0.08322061,-0.26942444,0.09825877,0.1789697,0.14051989,-0.020367384,0.13092816,0.18213584,0.260219,0.013622441,0.08961862,-0.026071832,-0.11345579,-0.02277881,0.030724432,-0.13438943,-0.27034682,-0.16687977,0.0603652,-0.048022747,-0.06133249,0.008027574,-0.13174394,-0.011105528,0.15501478,0.22136194,-0.06994595,-0.08494728,-0.08361604,0.07850456,0.047381558,0.13398825,0.16762783,-0.088074625,0.06277074,-0.21534906,-0.07227305,-0.20986491,0.08693901,0.018846529,0.09400714,-0.13174796,0.12333402,0.029273583,-0.17215088,-0.0031428884,0.11229999,-0.003661332,-0.13997966,-0.047175802,0.0070827897,0.10819571,0.06374885,-0.13446291,-0.04325829,-0.14000048,-0.24952097,-0.07542448,-0.06960178,0.032864217,-0.09840212,-0.0865067,-0.0247097,0.11494909,-0.061813656,0.14873153,-0.0024004313,0.20187351,0.19420825,0.019326765,-0.017284526,0.064954795,-0.006187531,-0.18359411,-0.24665397,-0.068307064,0.11048933,0.28493157
DRUG_ATC_C4,0.04693513,-0.16280015,-0.1022004,0.071314454,-0.16612159,0.059650622,0.08193423,-0.057525303,0.12043104,-0.24359578,-0.09012254,0.047686405,-0.15953656,0.09629874,-0.20670894,0.13732299,0.06102547,-0.102165885,0.09955583,0.02284153,-0.027146734,-0.13909838,0.11479767,-0.19311023,0.017482094,0.17812158,0.14430502,-0.13189255,-0.08724638,0.14801985,0.17128736,0.24631096,0.0351935,-0.03479741,-0.07019099,0.04260487,0.08582882,-0.1837259,-0.038121145,-0.10152293,-0.15926513,-0.02379305,-0.05472041,-0.041885905,0.044763993,-0.21032445,-0.058312755,0.113011934,-0.22352272,-0.030304844,0.09050041,-0.16602826,-0.10892633,0.16418639,0.22554174,-0.015472502,-0.030048922,-0.03574899,-0.058049515,-0.13806358,0.13457377,0.064734764,0.07208303,0.030051911,-0.0072756624,0.18906665,0.030506324,0.10148497,0.13797884,0.088767216,-0.031432204,0.029989248,-0.11360504,0.18599236,0.024528572,-0.2124685,0.056767885,-0.26621115,-0.13638172,0.1140097,-0.0041479836,-0.108487725,0.06836222,-0.01422062,-0.043605,0.026870081,0.19566482,0.13123864,-0.05656662,0.1418397,0.039212678,-0.017875792,-0.048683573,-0.14121945,0.15097997,-0.0066270037,-0.20633423,-0.061005984,-0.09681193,0.24169427
DRUG_ATC_C5,0.15763918,0.04136085,0.05046907,0.06066458,-0.028057324,0.044958673,0.092678934,0.020368662,0.034848277,-0.18162042,0.11600364,0.112121105,-0.1540328,-0.05867055,-0.21260725,0.11519976,0.14862967,0.047758415,-0.07836034,0.08525836,0.1255036,-0.016684208,-0.06844598,-0.065896906,0.07127153,0.09108662,-0.018621115,-0.02389997,-0.018827401,0.06672504,-0.06634267,0.1781239,0.1612383,-0.16455637,-0.17188919,0.065328985,-0.025383938,-0.13025232,-0.032036874,-0.13324226,0.016236223,-0.08685297,0.0903245,-0.1121173,-0.0786488,-0.1380148,0.06627464,0.13779196,-0.10347795,-0.09826813,-0.01798396,-0.060810976,-0.04002709,0.017892003,0.13428974,0.064963676,-0.088849135,-0.141504,-0.035563245,-0.011597987,0.14344075,-0.16377182,-0.024207117,-0.08102105,-0.011690582,0.07891006,-0.09232256,-0.022387762,0.011715895,0.064523146,-0.15380137,-0.010300921,-0.03356538,0.09760544,0.031107942,-0.15530184,-0.17277665,-0.17583284,-0.14442036,-0.022739233,0.14325003,0.08155333,-0.17047375,-0.0005043987,0.029033463,-0.10235789,0.057210457,-0.039022088,-0.041432418,0.1422166,0.050251395,0.17005885,-0.16348499,0.042577792,-0.05841742,-0.15496942,-0.097561106,-0.0820974,0.094618104,0.09329512
DRUG_CARRIER,0.17910513,0.14045641,-0.2219407,-0.09662124,-0.13400951,0.182099,0.0569471,-0.12276871,0.31490675,-0.36421022,0.13032724,0.07547108,-0.01452841,-0.09430327,0.014915597,-0.06087368,0.07286559,0.011318693,-0.18980286,-0.14060548,-0.111155584,-0.12804386,-0.25289166,0.033633057,0.019669928,-0.0642335,0.067635626,-0.009517186,0.0033207594,-0.19923094,0.030991156,0.24756652,0.07039366,0.12375964,-0.0044826507,0.27407026,-0.16905566,-0.41327196,-0.18987761,-0.101978235,-0.11138822,-0.18627258,-0.10940997,0.08798618,0.033336643,-0.1678113,-0.188037,0.32440403,-0.3864011,-0.021446425,-0.0015562377,-0.0030227238,0.22585459,0.0491841,-0.0024132824,0.12206725,0.25682375,0.33205593,0.06376834,-0.042771738,0.33987865,-0.2343556,0.02637975,-0.062068757,0.11971525,0.0031952404,0.040433917,0.18179591,-0.124083765,-0.0048245876,-0.14142899,0.12789628,-0.093714595,-0.18803573,-0.21248014,0.10520675,-0.22531956,-0.10265065,-0.15037335,-0.11475162,0.060325008,0.11139529,-0.03273201,-0.029687757,-0.22742333,0.18364076,-0.26505017,0.028032554,-0.03832644,0.086550646,-0.047086295,-0.08409043,-0.22834574,0.23045923,-0.055010963,-0.24646652,0.04671592,0.10601408,0.2512675,0.13099505
DRUG_CATEGORY,0.11864752,-0.10047648,0.04196017,0.13734342,-0.17156859,-0.07055584,0.15861723,0.121605024,0.0039861896,-0.18076064,-0.0055484045,0.18762676,-0.15622145,0.10888281,-0.07260647,0.10221209,-0.04199075,-0.14708166,0.13190661,-0.058559287,0.14071557,-0.03940656,0.039395213,-0.04962725,-0.04410716,0.11255664,0.09794909,0.09430662,0.095198154,0.054583076,0.056537714,0.06484878,0.17327183,-0.051717587,-0.13291502,-0.07548068,0.15863551,-0.13613705,-0.15782022,-0.08644723,0.087407865,0.019612446,0.09776767,-0.110527,-0.116719544,-0.192637,-0.014983217,0.12592086,-0.13509496,0.07909898,0.09945098,-0.035040636,0.06830744,-0.019184584,0.17151059,0.094212726,0.062417347,-0.14239219,0.0874445,-0.18541303,0.15561296,-0.13214865,-0.06826755,-0.00360391,0.13511817,0.07984592,0.14222999,0.16943344,0.01971055,0.13395408,-0.20592298,0.041028704,-0.042153183,0.16614291,0.12460494,-0.14223264,-0.14328873,-0.13405377,-0.2032014,-0.08201586,0.09889832,0.090088785,-0.094388515,0.15462573,-0.21947767,0.13429183,0.10272856,0.073309645,-0.19121547,0.17033194,-0.15662347,0.07961394,-0.064249195,-0.060295396,-0.1385801,-0.13606758,-0.16458547,0.17222872,0.03252018,0.16233616
DRUG_ENZYME,-0.14879246,0.22420122,-0.23709911,0.14890957,-0.07961417,0.015451966,0.24139169,-0.09956651,0.3162075,-0.14365904,-0.024773963,-0.117587954,-0.10803901,0.3221145,-0.21598563,0.36124808,0.18154334,0.13236,0.39165547,-0.02906857,0.32458714,0.14172465,-0.12791872,-0.05825838,0.02544953,-0.02355291,0.18907174,0.18949004,-0.051304314,0.1553953,-0.006003517,0.30257565,0.1813931,0.2786475,-0.24952948,0.3042038,0.007924898,-0.2502574,-0.1671113,-0.2798608,0.1063115,0.03124685,0.034864254,-0.034066103,-0.15108539,-0.13041238,-0.0015904986,0.3733078,-0.36857098,-0.02607087,-0.0607891,-0.21539676,-0.29812357,0.08289407,0.066899955,-0.022486947,0.2744105,-0.08159921,0.10141178,-0.3377038,0.22590292,-0.4706359,0.17749351,0.12153031,0.42640454,0.02293453,-0.19760655,-0.1737058,-0.037374344,-0.0076175136,-0.31540525,-0.02515995,0.051048785,-0.16162151,-0.09810009,-0.14697905,-0.30263683,-0.08974732,-0.15928881,0.15068702,0.010455325,-0.06608672,-0.12399351,-0.13551651,-0.26332688,0.09494259,-0.2399729,0.21901216,-0.22160493,0.07446381,0.077672265,-0.14986025,-0.28614172,-0.0025736252,-0.017624611,-0.05936743,-0.18003714,0.021208594,0.1368796,0.05772606
DRUG_PATHWAY,0.23113799,-0.180614,0.15060927,0.06425089,-0.14070964,-0.21069594,-0.2316147,-0.0022402806,0.13149115,0.2753307,-0.11356791,-0.079507165,-0.07100781,0.021579422,-0.15652956,-0.12147629,-0.068019226,0.021166747,-0.0647725,-0.080462255,0.12205999,0.0402661,-0.08527793,0.02597798,0.0034548978,0.219542,0.021963544,-0.018552415,-0.0011138736,0.026407966,0.045905463,0.161733,0.0033671146,-0.07401343,0.07252547,-0.25822473,0.01880356,-0.39809743,-0.17188776,-0.25514552,-0.07229121,0.13042216,-0.04691174,-0.2047012,-0.22117305,-0.16309695,-0.14068761,0.010717373,-0.24005985,0.07491137,0.20117158,0.031810094,0.01835255,0.27270985,0.09840394,0.13705514,0.17177305,-0.11365555,-0.20800486,-0.017717857,0.11335864,-0.4658354,-0.015687011,-0.21935694,-0.06931588,0.2037219,-0.03161633,0.082766674,-0.10512751,-0.06487854,-0.12116694,0.18068703,0.32235706,0.11589544,0.0010767975,-0.4656619,-0.07063226,-0.123777,0.010920438,-0.0040300214,-0.23016284,-0.0766604,-0.21373016,-0.058011193,0.015270523,0.030208193,0.13397068,0.36204365,-0.087739415,-0.10009725,-0.35459957,-0.058086798,-0.11020459,0.10620604,0.06400619,0.13952817,0.18264642,-0.076079234,0.08152197,0.18474646
DRUG_TARGET,0.09103292,0.057426535,-0.05260068,0.18208367,-0.18557008,-0.107699856,0.02638214,-0.08691472,0.030735215,-0.10533671,0.035376385,-0.14577954,-0.0946958,0.15572494,-0.048908785,0.022166247,-0.05410951,0.1064019,0.04584193,-0.107560344,0.07693626,-0.08074881,-0.15684862,-0.03525376,0.010085273,0.07721598,0.12969391,-0.05294406,0.018914912,0.018795723,0.057514608,0.11879774,0.16520508,0.1067336,-0.11423549,0.11818229,-0.06975626,-0.22081272,-0.021606032,-0.13769358,-0.07772019,0.03922292,0.07351932,-0.10944456,0.025628991,0.066539675,0.1178988,0.18438224,-0.00033634173,-0.12360623,0.20160764,-0.11427272,0.07570194,-0.12539403,-0.02968006,-0.08624061,0.17132252,0.12106978,0.009129803,-0.013878864,0.20038064,-0.18519486,0.070518084,-0.14393967,0.0861849,-0.062358417,-0.114439234,0.08099463,0.075388916,0.037535094,-0.060978178,0.14729318,0.073662646,-0.15127172,-0.13446397,-0.076557346,-0.17593655,-0.054621167,0.004099982,0.13391627,0.08341241,-0.09100772,-0.07588806,-0.100646146,0.065682866,-0.05608131,-0.026840422,0.11302161,-0.07248357,0.13067125,-0.10649294,0.021385986,-0.16624124,0.13611898,0.12749171,-0.038332112,-0.09918823,0.04194359,0.1758622,0.03951119
