relation,count,AUC-ROC,AUC-PR,MRR,P@k
DRUG_CATEGORY,11111,0.9491372602502914,0.9442284371159114,0.000881049550155924,1.0
PATHWAY_ENZYME,16691,0.9953053073098622,0.9961607132931651,0.0006168559027613248,1.0
DRUG_TARGET,2894,0.820730006891746,0.833281443625455,0.0028601216413317605,1.0
DRUG_ATC_C5,93,0.8302693953058158,0.8135558343955362,0.05105774657637913,0.82
DRUG_ATC_C2,630,0.9672436381960192,0.9573623073750334,0.01092668236297263,0.98
DRUG_PATHWAY,984,0.9212527472073502,0.9342503932464707,0.007500581604467421,1.0
DRUG_ATC_C3,685,0.9338057435132399,0.9332880157866495,0.010234858771263596,1.0
TYPE,1730,0.8922423067927429,0.8685047022218421,0.004395242366789647,0.96
PATHWAY_CATEGORY,901,0.9947191491510852,0.9946405324143922,0.008185595036497361,1.0
DRUG_ATC_C4,593,0.9144288765217589,0.9134928827507266,0.011529537689507766,1.0
DRUG_TRANSPORTER,475,0.9383313019390582,0.9489367534111284,0.014069563923172415,1.0
DRUG_ENZYME,872,0.9393582716101339,0.9472285139547121,0.008339708331690149,1.0
DRUG_ATC_C1,598,0.9712866746456975,0.964812702319439,0.01156201598236898,1.0
DRUG_CARRIER,106,0.8859914560341758,0.8979290863768461,0.04796536233943012,0.94
