fold,AUC-ROC,AUC-PR,pos_score_mean,neg_score_mean,score_gap,P@10,P@50,P@100
1,0.9499670108070364,0.9654075460053413,3.7787323,-5.4835916,9.262323,1.0,1.0,1.0
2,0.9546471271658532,0.9678328261757398,3.8954747,-5.679051,9.574526,1.0,1.0,1.0
3,0.9548857153617615,0.9680394931439394,3.864535,-5.7352757,9.599811,1.0,1.0,1.0
4,0.9518987224415658,0.965982189453967,3.8181407,-5.4890985,9.30724,1.0,1.0,1.0
5,0.9519744809478775,0.9663335079697012,3.8317268,-5.442654,9.274381,1.0,1.0,1.0
6,0.9545496638205891,0.9678645417837953,3.8737614,-5.5992846,9.473046,1.0,1.0,1.0
7,0.9526820941491686,0.9671694803042534,3.8408334,-5.4804235,9.321257,1.0,1.0,1.0
8,0.951177669476859,0.9660448176826275,3.7944615,-5.4457626,9.240224,1.0,1.0,1.0
9,0.9549643576594046,0.9682318818803882,3.9257133,-5.568312,9.494025,1.0,1.0,1.0
10,0.9525920572694994,0.9670784630112705,3.8586838,-5.489406,9.34809,1.0,1.0,1.0
